Comment ID,Positive,Negative,Neutral,Compound
c1y1gyq,0.0,0.365,0.635,-0.3182
c1y8ri0,0.0,0.399,0.601,-0.8519
c1y8q22,0.0,0.0,1.0,0.0
c1y50n3,0.0,0.0,1.0,0.0
c1y4q9j,0.0,0.0,1.0,0.0
c1y12y1,0.508,0.0,0.492,0.7351
c1y5rt3,0.0,0.121,0.879,-0.296
c1y1bv7,0.21,0.022,0.768,0.875
c1y2x02,0.03,0.095,0.875,-0.3289
c1y2iuh,0.301,0.0,0.699,0.91
c1y4jxi,0.512,0.0,0.488,0.7425
c1y2j3z,0.182,0.088,0.73,0.8344
c1y2hzr,0.073,0.305,0.623,-0.7866
c1y2rhk,0.046,0.164,0.789,-0.7506
c1y9d5h,0.057,0.146,0.798,-0.7486
c1yyyyn,0.061,0.0,0.939,0.0772
c1ym642,0.0,0.0,1.0,0.0
c1y4jku,0.069,0.125,0.806,-0.6743
c1y3p68,0.118,0.116,0.766,0.263
c1y4vtw,0.0,0.0,1.0,0.0
c1y9epi,0.087,0.254,0.658,-0.649
c1y8qc1,0.435,0.0,0.565,0.7717
c1yivsw,0.0,0.073,0.927,-0.3182
c1y340m,0.375,0.0,0.625,0.4588
c1y38xm,0.15,0.0,0.85,0.5562
c1y2tt8,0.103,0.02,0.877,0.7564
c1y95vt,0.054,0.305,0.64,-0.7804
c1y2t0h,0.105,0.109,0.786,-0.1378
c1y4k2t,0.516,0.0,0.484,0.4927
c1y5f2h,0.0,0.0,1.0,0.0
c1y55c4,0.0,0.302,0.698,-0.3818
c1y5y9d,0.0,0.0,1.0,0.0
c1y34ko,0.176,0.0,0.824,0.4588
c1yg32l,0.0,0.0,1.0,0.0
c1y9d7d,0.0,0.0,1.0,0.0
c1y5ifc,0.0,0.0,1.0,0.0
c1y5gxo,0.0,0.184,0.816,-0.4019
c1z4w24,0.0,0.202,0.798,-0.5848
c1pxxsb,0.0,0.0,1.0,0.0
c1py6sr,0.0,0.0,1.0,0.0
c1pypa8,0.0,0.0,1.0,0.0
c1pyf1n,0.0,0.178,0.822,-0.4951
c1py7g7,0.37,0.0,0.63,0.7932
c1pyi12,0.349,0.0,0.651,0.7639
c1pyy1m,0.23,0.04,0.73,0.8734
c1py9cj,0.181,0.0,0.819,0.6369
c1py977,0.231,0.414,0.355,-0.4767
c1pymbh,0.239,0.044,0.717,0.9815
c1py88q,0.408,0.088,0.504,0.9287
c1pypxp,0.129,0.123,0.748,-0.3044
c1py72z,0.217,0.0,0.783,0.3612
c1pzs6d,0.133,0.097,0.77,0.9734
c1pxvxf,0.154,0.274,0.572,-0.3544
c1py6vi,0.339,0.0,0.661,0.6249
c1py8is,0.152,0.0,0.848,0.3612
c1pyouy,0.0,0.267,0.733,-0.7105
c1q0dvd,0.555,0.0,0.445,0.7177
c1pyamk,0.098,0.046,0.855,0.6884
c1pyfn0,0.0,0.167,0.833,-0.1531
c1py7ah,0.622,0.0,0.378,0.7125
c1pzyul,0.193,0.0,0.807,0.9571
c1q0a54,0.117,0.0,0.883,0.7574
c1q0onf,0.106,0.085,0.809,0.1298
c1q04zb,0.134,0.0,0.866,0.5023
c1py9jg,0.222,0.061,0.717,0.802
c1pyf4c,0.0,0.0,1.0,0.0
c1pyfwk,0.231,0.0,0.769,0.5994
c1pyeoa,0.174,0.016,0.81,0.8922
c1pzdi3,0.308,0.0,0.692,0.9566
c1q04jg,0.073,0.11,0.816,-0.4215
c1py97r,0.0,0.0,1.0,0.0
c1pyuji,0.16,0.259,0.58,-0.2991
c1pz9q2,0.241,0.0,0.759,0.743
c1pywwn,0.04,0.071,0.889,-0.25
c1pyxqi,0.335,0.047,0.618,0.9811
c1q05b4,0.0,0.0,1.0,0.0
c1pzwr4,0.414,0.045,0.541,0.9119
c1q0kdg,0.308,0.164,0.528,0.7774
